Page,Query,Impressions,Clicks,Position
https://example-photo.io/blog/competitor-a-review,competitor a gallery,24000,10,7.3
https://example-photo.io/blog/competitor-a-review,competitor a review,8200,28,9.1
https://example-photo.io/blog/competitor-a-review,competitor a pricing,4100,6,12.4
https://example-photo.io/blog/competitor-b-alternatives,competitor b alternatives,1014,3,11.0
https://example-photo.io/blog/competitor-b-alternatives,competitor b vs,620,2,14.2
https://example-photo.io/blog/what-is-photo-proofing,photo proofing,853,2,29.9
https://example-photo.io/blog/what-is-photo-proofing,what is photo proofing,83,2,8.2
https://example-photo.io/blog/what-is-photo-proofing,photo proofing software,540,1,18.6
https://example-photo.io/pro,example photo proofing,320,4,22.1
https://example-photo.io/pro,client gallery software,210,3,24.5
https://example-photo.io/blog/legacy-selling-photos-post,selling photos online,900,1,38.0
https://example-photo.io/blog/legacy-selling-photos-post,best places to sell photos,400,0,44.2
